Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,1725.027,899,0.234,0.002,9.792,NaN,84.308,NaN,0,0,0,0.57,0.373,0.077,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.328,90,15,1013.25,0.001,340.389,0.007,1.999e5,10,78.54,0.01,0.002,0
0.01,3.92e-5,3.92e-5,0.028,0.028,12.147,12.147,-2.748e-6,0,2.748e-6,270,6.865e-4,0.082,28.61,-80.6,89.306,0,0,0,90,0,1724.676,898.649,0.234,0.002,9.792,NaN,84.302,NaN,37.837,2.24,6.538e-8,0.57,0.373,0.077,0.12,2.526e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.32,90,15,1013.25,0.001,340.389,0.007,1.991e5,10,78.54,0.01,0.003,3.597e-6
0.02,0.001,0.001,0.259,0.259,34.094,34.095,-1.371e-5,0,1.371e-5,270,0.002,0.082,28.61,-80.6,83.596,0,0,0,90,0,1724.325,898.298,0.234,0.002,9.792,NaN,84.296,NaN,75.675,4.482,4.858e-5,0.57,0.373,0.077,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.312,90,15,1013.25,0.001,340.389,0.007,1.996e5,10,78.54,0.011,0.003,3.32e-5
0.031,0.007,0.007,0.767,0.767,58.247,58.247,-3.534e-5,0,3.534e-5,270,0.002,0.088,28.61,-80.6,71.554,0,0,0,90,0,1723.939,897.912,0.234,0.002,9.792,NaN,84.289,NaN,117.296,6.948,0.001,0.566,0.369,0.077,0.12,0.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.302,90,15,1013.249,0.001,340.389,0.007,2.082e5,10,78.54,0.01,0.004,9.822e-5
0.041,0.017,0.017,1.361,1.361,60.466,60.466,-6.431e-5,0,6.431e-5,270,0.003,0.103,28.61,-80.6,59.287,0,0,0,90,0,1723.184,897.158,0.234,0.002,9.792,NaN,84.276,NaN,121.072,7.175,0.005,0.558,0.361,0.077,0.12,0.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.294,90,15,1013.248,0.001,340.389,0.008,2.287e5,10,78.54,0.01,0.004,1.742e-4
0.051,0.034,0.034,1.976,1.976,62.685,62.685,-1.036e-4,0,1.036e-4,270,0.005,0,28.61,-80.6,49.14,0,0,0,90,0,1722.43,896.403,0.234,0.002,9.792,NaN,84.264,NaN,124.849,7.402,0.013,0.548,0.351,0.077,0.12,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.289,90,15,1013.246,0.001,340.389,0.009,2.594e5,10,78.54,0.01,0.004,2.531e-4
0.061,0.057,0.057,2.614,2.614,64.903,64.903,-1.489e-4,0,1.489e-4,270,0.005,0,28.61,-80.6,41.535,0,0,0,90,0,1721.675,895.648,0.234,0.002,9.792,NaN,84.251,NaN,128.625,7.629,0.024,0.536,0.339,0.077,0.12,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.32,90,15,1013.243,0.001,340.389,0.01,2.999e5,10,78.54,0.01,0.004,3.347e-4
0.071,0.086,0.086,3.275,3.275,67.122,67.122,-1.941e-4,0,1.941e-4,270,0.005,0,28.61,-80.6,35.629,0,0,0,90,0,1720.92,894.894,0.234,0.002,9.792,NaN,84.238,NaN,132.402,7.857,0.039,0.526,0.329,0.077,0.12,0.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.351,90,14.999,1013.24,0.001,340.389,0.012,3.459e5,10,78.54,0.007,0.004,4.193e-4
0.078,0.111,0.111,3.75,3.75,68.675,68.675,-2.258e-4,0,2.258e-4,270,0.005,0,28.61,-80.6,32.278,0,0,0,90,0,1720.392,894.365,0.234,0.002,9.792,NaN,84.229,NaN,135.045,8.016,0.051,0.519,0.322,0.077,0.12,0.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.373,90,14.999,1013.237,0.001,340.388,0.013,3.808e5,10,78.54,0.01,0.004,4.801e-4
0.088,0.152,0.152,4.438,4.438,69.029,69.029,-2.71e-4,0,2.71e-4,270,0.005,0,28.61,-80.6,28.397,0,0,0,90,0,1719.556,893.53,0.234,0.002,9.792,NaN,84.215,NaN,135.61,8.054,0.072,0.51,0.313,0.077,0.12,0.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.404,90,14.999,1013.232,0.001,340.388,0.015,4.332e5,10,78.54,0.01,0.005,5.683e-4
